text,translation,num_words,author,source,page,line
"Gran-manman doudou, menm si mwen lwen’w.","Grand-mère chérie, même si je suis loin de toi.",13,J-F. Liénafa,Y. S.R.,310,10
I té ka dòmi kay gran-matant li.,Il dormait chez sa grande-tante.,14,G-H. Léotin,M. V.,310,15
"Apré sa, Gran-Met la fèmen lapot dèyè yo.","Puis, le Seigneur referma la porte sur lui.",12,Bible,K.,310,21
"Finot sé an gran-moun, chivé’y blan kon koton.","Finotte est une personne âgée, elle a les cheveux tout blancs comme du coton.",13,D. Boukman,Mig.,310,25
"Dwet kon an pitjet asou chouval-li, épi an ti manniè gran-neg ki té lakay-li.","Roide sur son cheval, avec cet air prétentieux qu'il avait.",14,G-H. Léotin,M. V.,310,32
An konpwann ou té ja pli gran-neg ki sa !,Je te croyais beaucoup plus adulte !,14,Monchoachi,K. L.,310,40
"An jou, yo enki baré an gran-nonm épi man tann yonn di : ""Waché chimiz-li !"".","Un jour, ils barrèrent la route à un homme âgé et j'entendis l'un d'eux s'écrier :",16,R. Confiant,Bitak.,310,46
"Rivé Kaz-Pilot, gran-papa'y té ka vini jwenn li anlè balkadè.","Arrivé à Case-Pilote, son grand-père venait le chercher à l'embarcadère.",19,I et H. Cadoré,S. D. M.,310,55
boug-la.,"De Saint-Anne à Grand-Rivière, une mer de femmes, un océan de femmes baignait la vie",9,R. Davidas,Ch.,311,3
Fiwmen té ké ni pou di ki sé té gran-tonton’y.,Firmen devrait avouer qu’il s’agissait de son grand-oncle.,17,G. Mauvois,K. L. K.,311,17
Fanmiy doubout pa grap.,"Des familles debout, en grand nombre.",11,G. Gratiant,F.C.,311,30
Yo té ka fè grap pou misié.,Ils lui préparaient des grappes.,7,,,311,42
"Kom, gras a Dié ! mwen sav li.","Comme, grâce à Dieu ! je le sais.",11,F. Marbot,Bamb.,311,48
Man té ka fè kalté model dè grat anlè’y.,Je récupérais pas mal d’argent en douce à son détriment.,14,J. Florentiny,Dod.,312,6
Neg mawon-an graté tet-li.,Le nègre marron s’est gratté la tête.,10,G. de Vassoigne,F..K.,312,10
Ayen ki bagay gratui frè-mwen an enmen.,Mon frère n’aime que les choses gratuites.,7,,,312,16
An bagay ki grav menm.,Quelque chose d’extrêmement grave.,11,R.Confiant,K.Y.,312,20
Sé silon gravité tet-fann lan.,Cela dépend de la gravité de l’ouverture de la fontanelle.,10,H.Atine,A.S.D.,312,28
Pou nonmen zoranj épi zaboka gréfé.,Afin de nommer les oranges et les avocats greffés.,14,T. Léotin,L. E.,312,36
Ou té lé man apwann grek épi laten.,Tu voulais que j’apprenne le grec et le latin.,14,D. Boukman,Déliv.,312,51
gren                    . grain de pluie Ni an gren tou paré anlè lamontann-la.,Il y a un grain de pluie qui se prépare en haut de la montagne.,13,G. Gratiant,F.K.Z.,312,54
Lè on gren-blan fè tan fésé kò’y atè.,Lorsqu’une forte averse se mît à tomber.,17,R. Confiant,Maris.,312,58
Di yo alé an kwaziè sé jou-tala pabò lé Grènadin.,Dis-leur d'aller en croisière ces jours-ci du côté des Grenadines.,19,Jid,Ant. n° 1108,313,14
"I kouvé telman, i vini meg ek grenchez.",Elle avait tellement couvé qu’elle était devenue maigre et grincheuse.,15,G. Mauvois,K. L. K.,313,18
Kon grenn mango é lapo mango.,Comme noyau et pelure de mangue.,6,,,313,27
Pwan an gwo grenn sel épi pijé’y ant dé zorey-li.,Prends un gros sel et presse-le  entre ses deux orteils.,16,G. Mauvois,M.C.,313,33
Kan yo santi mitray ka tonbé kon grenn lapli.,Lorsqu’ils sentirent la mitraille s’abattre comme des grains de pluie.,14,F. Marbot,Bamb.,313,39
I ké konpwann fok ti grenn-chien kon’y rété an koté an lè.,Il comprendra que les avortons de son espèce doivent rester tranquilles un jour ou l’autre.,18,R.Confiant,K.Y.,313,49
Ou pa gwo kom yon grenn-dé !,Tu n’es même pas de la taille d’un dé !,12,F. Marbot,Bamb.,313,53
chivé’y grennen kon grenn kaka mouton : (lit. il a les cheveux aussi,crépus que des crottes de mouton) il a les cheveux extrêmement crépus,13,,,313,66
"An jou i té grennen, tann sa i di ba kontjibin-li.","Un jour qu’il était saoul, écoutez ce qu’il a déclaré à sa concubine.",18,N. Rosette,O. L. N.,313,72
"Pa mennen boug-tala dèyè’w, i ké grennen zafè’w !","N’emmène pas ce type avec toi, il va gêner tes affaires !",9,,,314,4
"Man poko menm grenyen rad ti Neg-la ba'y, non.",Je n'ai même pas encore acheté les vêtements du gamin.,15,R. Confiant,Maris.,314,12
Nou grenyen jé pou achté an bel kay épi an gwo loto.,Nous avons gagné au jeu afin d’acheter une belle maison et une grosse voiture.,18,J-F. Liénafa,M. M.,314,19
Yo té ka tijé-désann pou raché mòso a po oben gres.,Ils se précipitaient pour arracher un morceau de peau ou de graisse.,18,J-M. Le Clézio,Paw.,314,28
I grésé lang-li bien kòmifo.,Il graissa sa langue bien comme il faut.,9,M-Th. Lung-Fou,C. C.,314,38
grévis                       . gréviste Adliz wè Omè adan konpanyi grévis-la.,Adelise aperçut Homère dans le groupe des grévistes.,11,R. Confiant,Maris.,314,43
"Li ni ti pwel lasou kò-li, yon gran laké, bel ti zié gri.","Il a de petits poils sur le corps, une grande queue, de beaux petits yeux gris.",18,F. Marbot,Bamb.,314,47
grif  1                        . griffe Latjé’y té danjéré ek té ka fini pa an grif an chak bout-li.,Sa queue était terrible et finissait par une griffe à chacune de ses extrémités.,13,F. Kichenassamy,C.D.D.,314,50
"Met Sina, an boug grif éti madanm-li té ni an boutik bò lakwa Mòn Pijwen an.","Monsieur Cinna, un homme au teint rougeâtre dont l’épouse possédait une épicerie",16,R. Confiant,Maris.,314,57
Pétet pas nonm griji jolies.,Peut-être parce que les hommes ont écorché la joliesse.,10,Monchoachi,B.B.Z.,315,14
"Lanmen’y grajé, fidji’y griji.","Ses mains furent râpées, son visage plissé.",7,D. Boukman,A.F.,315,20
Ivan kouri ovantatè vanté asou la Grinad épi Sent-Lisi.,Ivan de dépêcha de déployer ses vents sur Grenade et Sainte-Lucie.,17,Jid,Ant. n° 1108,315,31
An griyaj té ka séparé yo.,Un grillage les séparait.,12,G. Mauvois,K. L. K.,315,46
I té mété yo dòmi adan an joupa griyajé.,Il les avait mis à dormir dans une hutte grillagée.,16,G. Mauvois,K. L. K.,315,50
Man pi simié Neg kanmarad-mwen pasé pies Bétjé griyav non.,Je préfère de beaucoup mes camarades nègres à n’importe quel Blanc Créole sans le sous.,16,R. Confiant,Bitak.,316,3
Viékò-a griyen mé i pa rivé di dé mo kolé.,Le vieil homme sourit mais il ne parvint pas à prononcer deux mots.,17,R. Confiant,K.Y.,316,11
Mé sé griyen li ka griyen.,Mais il se contente de rire jaune.,13,Monchoachi,B. B. Z.,316,17
"Tala an Fwans, lot-la an Guiyàn.","Celui-ci est en France, l'autre est en Guyane.",13,R. Confiant,K. Y.,316,30
Latè tranblé dépi Sent-Lisi jik Donmnik pou rivé la Gwadloup.,"La terre trembla de Sainte-Lucie jusqu’à la Dominique, atteignant même la Guadeloupe.",16,T. Léotin,L. L.,316,45
Li té ka gwayé lot-la.,Il se moquait de l’autre.,8,F.Marbot,Bamb.,316,58
I té ka alé li-menm wè yo débatjé’y abò gwélet.,Il allait lui-même les voir débarquer des goélettes.,17,G. Mauvois,K. L. K.,316,63
Man pa té sav misié té gwenf kon sa.,J’ignorais qu’il était aussi goinfre.,9,,,316,67
"Pis dan-mwen pli gwo, i fo li tini mòso.","Comme j’ai la dent plus grosse, il faut qu’elle obtienne un morceau. exp.",13,F. Marbot,Bamb.,317,3
Piti pa dwé frékanté gwo.,Les pauvres ne doivent pas fréquenter les puissants.,9,F. Marbot,Bamb.,317,10
"An gwo lannuit-la, an soley té ka kléré adan siel-la.","En pleine nuit, le soleil brillait dans le ciel.",14,S. Restog,M. N.,317,17
I té mété set ti gwog adan kò'y.,Il s'était envoyé sept grogs.,15,V. Coridun,Carn.,317,29
"E lalin ki pa an pwen lentéwogasion pies ankò, anvi pwan non Gwo-kato pou latè pé wè'y bel.","Et la lune, qui n'est plus un point d'interrogation, a envie de s'emparer du nom de Vénusafin que la terre puisse la trouver belle.",9,T. Léotin,L. E.,317,36
I té ka fè gwo-koko jiktan Albè fésé'y anlè zékal.,Il faisait le bravache jusqu'au moment où Albert l'a renversé sur le sol.,10,,,317,41
Man pa té jen riviré Gwo-Mòn dépi nef lanné a man té ka viv Fodfwans la.,Je n'étais jamais retourné au Gros-Morne depuis neuf ans que je vis à Fort-de-,16,R. Confiant,Maris.,317,49
"Tout dan’y déwò, i mété’y ka gwondé.","Toutes dents dehors, il se mit à gronder.",11,I. Césaire,C. N.J.,317,60
"Ni, sé pou an gwo-pwel yo ka tounen-fol kon an taktak.",Certains errent en tous sens à cause d'un chagrin d'amour.,16,R. Davidas,Ch.,318,12
Ni doukwé fè avòté yon fanm gwos ki sé gadé li.,Il y aurait de quoi faire avorter une femme enceinte si elle le regardait.,16,F. Marbot,Bamb.,318,16
Sé pou sa ou pa-a rivé gwosi pies la.,C’est donc à cause de ça que vous n’arrivez pas du tout à grossir.,12,R. Confiant,Maris.,318,21
"An tan volkan pòkò té brilé Sen-Piè, té ni an gwosis ki té ka vann lanmori salé.","A l’époque où le volcan n’avait pas encore détruit Saint-Pierre, il y avait un grossiste qui",17,G. Mauvois,K. L. K.,318,25
Sa ki vwè gwosè li.,Ceux qui constatent sa grosseur.,10,F. Marbot,Bamb.,318,32
Mé i ka vini gwosè lizin Sent-Mari.,Mais il devient de la taille de l'usine de Sainte-Marie.,15,C. Colombo,T. J. M. L.,318,37
Rafréchisman-an ka koumansé apré twa mwa gwoses.,Le rafraîchissement était donné après trois mois de grossesse.,7,H.Atine,A.S.D.,318,41
Man pa té ka ripousé’y an manniè two gwosomodo.,Je ne le repoussais pas d’une façon trop rustre.,12,R. Confiant,Maris.,318,46
"Ou ké pwan mant, gwo-ten…","Tu prendras de la menthe, du gros-thym.",8,R. Nazaire,T. K..,318,53
H                   ha,. ah,20,,,320,4
"Ha, monpov Yé, ou ké viv épi mò sot pasé pèsonn !","Ah, mon pauvre Yé, tu vivras et tu mourras plus sot que tout le monde !",20,L. Hearn,T. F. B. C.,320,6
. hacher   Haché koko’y !,. voir rad,24,Maloulou,D.,320,12
"Chouval-la hanni, i ka palé.","Le cheval se mit à hennir, puis il parla.",13,I. Césaire,C. N.J.,320,25
"Ki lapot ka soukwé, ki kay-la hanté…","Que les portes bougent, que la maison est hantée…",10,R. confiant,M.L,320,30
"Kantapou hannton, bet-lafiev oben kabrit-bwa, sé tout kay-la i ka kité ba yo.","Quant aux hannetons, aux bêtes-à-fièvre et aux criquets, il leur laisse toute la maison.",13,J-M. Rosier,Lk.,320,34
Ou ka tann vwazen-mwen ka hélé.,On entend mon voisin crier.,11,S.Restog,T.P.P.,320,49
Pwéson-la fè'y apwann kouman hélé'y pou fè'y vini.,Le poisson lui apprit comment l'appeler à haute voix pour qu'il vienne.,16,L. Hearn,T. F. B. C.,321,6
"Konpè, ou sav, hen, Balenn toujou ka di i fò pasé’w.","Compère, tu sais, hein, Baleine dit toujours qu’elle est plus forte que toi.",17,M-Th. Lung-Fou,C. C.,321,11
Dé serten ti fi té ka fè'y holo.,Certaines petites filles lui disaient hello.,14,R. Confiant,Maris.,321,15
Tou sé gran moun-lan té sa idantifié an éfwadisman.,Toutes les personnes âgées savaient identifer un refroidissement chez les femmes relevant de,11,H.Atine,A.S.D.,322,14
Igo pété lonba a yo !,Hugo les a démoli !,8,Maloulou,Dés.,322,22
Igwomet pou miziré limidité lè-a.,Des hygromètres afin de mesurer l’humidité de l’air.,8,S. Restog,Lam.,322,26
Boug-la té ka fè anlo démagoji épi kò’y pou fè’y imajinen kay wotéba ki ka pwes manyen siel.,L’homme se démenait pour lui faire imaginer des maisons à étages qui touchaient presque le ciel.,8,R. Confiant,Bitak.,322,42
"Laté ki imowtel, latè ki pa ka las.","La terre immortelle, la terre jamais lasse.",10,G.Mauvois,Ant.,323,7
"Bod lariviè-a sé an koté éti pawol fanm té ka sirkilé, é inikman pawol fanm.",Le bord de la rivière est un lieu où circulait la parole des femmes et uniquement la leur.,15,H.Atine,A.S.D.,323,18
Ki moun ki inisié’y adan zafè Bondié-Kouli a ?,Qui l’a initié à l’hindouisme.,9,,,323,25
Sé lapriyè-a i té ka fè ba wozalien an adan lanmes lé dimanch lan té initil.,Les prières qu’elle faisait pour Rosalien à la messe du dimanche étaient inutiles.,16,R. confiant,K.Y.,323,31
Pa kité pawol initil sòti an bouch-ou !,N’ouvre pas la bouche pour dire des paroles stupides.,12,I. Césaire,Contes N.J.,323,44
Man ka brilé lésans initilman.,Je brûle inutilement de l’essence.,9,T. Léotin,L.L.,323,48
Sé kay-la inondé.,Les maisons sont inondées.,5,Jala,A.T.K.P.,323,52
Ki an bon vivan ki an inosan.,Tant un bon vivant qu’un innocent.,11,R . Confiant,M.F.,323,56
ipokrit                     . hypocrite Anlo bwi pou vié fanm ipokrit.,Beaucoup de tapage pour une vieille hypocrite.,12,G. de Vassoigne,Fab. K.,323,59
An lot wouchachè pé fè an étid a pawti di ipotez-tala.,Un autre chercheur peut faire une étude à partir de cette hypothèse.,13,H.Atine,A.S.D.,323,63
"Si sé an bagay ki irjan, fok ou té di nou sa.","Si c’était quelque chose d’urgent, il aurait fallu nous le dire.",12,,,324,3
Isenbot ! Madanm filibo a sé mwen ki fè’y.,Na ! C’est moi qui ai fabriqué la femme en sucre.,9,,,324,36
Fo pa i mété pié’y isia ankò.,Il ne faut plus qu’il mette les pieds ici.,11,G. Mauvois,M.M.,324,45
Kolé iskotch anlè djol-zot.,Collez-vous les lèvres avec du ruban adhésif.,7,D. Velasques,Maled.,324,56
"Lè Odjis pati, Sansann rété ek i di.","Quand Auguste fut parti, Sansandre déclara.",15,F. Kichenassamy,C.P.G.,324,60
"Sélesten, ou sav jòdi-a Istanislas ka tjwé ?","Célestin, tu sais que Stanilas abat une bête aujourd’hui ?",12,G. Mauvois,M.M.,324,70
Tout ti istwa madjendjen.,Toutes les petites histoires sans importance.,7,S. Restog,M.N.,325,9
"Kisiswa sa i yé a, itilizé pawoka pou ou benyen.","Quoiqu’il en soit, utilisez du paroka pour le bain.",13,R. Confiant,M.F.,325,27
Sé dwétet Izidò ki kasé kod.,C’est peut-être Isidore qui s’est échappé.,10,Monchoachi,B.B.Z.,325,39
ja 1       . déjà Bazil ka véyé malérez-la. Sé paré i ja paré pou chayé’y.,La mort guette la malheureuse. Elle est déjà fin prête à l’emporter.,14,D. Boukman,Mig.,326,7
Fok i té chayé dlo pou plen dé gran ja tou lé jou.,Il fallait qu’il transporte de l’eau afin de remplir deux grandes jarres tous les jours.,20,F. Kichenassamy,C.D.D.,326,13
Fok kabéché anpil san jaché chivé an mil.,Il faut beaucoup réfléchir sans se couper les cheveux en quatre.,14,M. Lebielle,F. N.,326,17
Ti Toma ki té né - man té oubliyé di’w sa - épi an ti jachot an lanmen’y.,Petit Thomas qui était né - j’avais oublié de vous le dire - avec une hachette à la main.,18,I. Césaire,C. N.J.,326,24
"Dragon, kay lò, zong lajan, zié vet kon jad, té jwa.","Le dragon, écailles d’or, serres d’argent, yeux de jade, en fut tout joyeux.",16,I. et H. Cadoré,S.D.M.,326,29
Bef-la chapé an jaden moun.,Le bœuf s’est échappé dans les jardins des voisins.,9,G. Mauvois,M.M.,326,33
"An bonmaten, dé jadinié ka vini gadé jaden-an.","Un matin, deux jardiniers viennent examiner le jardin.",14,M. Houdin,K. R.,326,46
Loret koumansé jagonné.,Lorette se mit à balbutier.,8,R.Confiant,K.Y.,326,50
I té jaja tout fanm.,Il adorait toutes les femmes.,11,R. Davidas,Ch.,326,54
Pèw dominiktjen Labat- an gran matjé ki té ka manjé tou sa i té wè- té gwo manjé viann jako.,"Le Père Labat, de l’ordre des Dominicains, un grand chroniqueur qui mangeait tout ce qu’ilvoyait, était très friand de viande de perroquet.",4,G. Mauvois,K.L.K.,327,4
"Misié konprann i twop grangrek, mé i sé an jako !","Cet homme se prend pour quelqu’un d’instruit, mais il ne sait que réciter par cœur !",11,,,327,25
jalou 1                       . entiché de ; adorer I té jalou madanm.,Il était entiché des femmes.,10,R. Davidas,Ch.,327,33
Mé fo pa ou jalou.,Mais il ne faut pas être jaloux.,7,G.Mauvois,K.L.K.,327,39
Jalouzi sé djep.,La jalousie est une guêpe.,7,D. Boukman,Z.P.,327,43
Tout jenn jan péyi-a té ka révé fè lanmou épi’y.,Tous les jeunes gens du pays rêvaient de faire l’amour avec elle.,14,F. Kichenassamy,C.D.D.,327,50
"Pa janmen ni pli gran séléra ki patron-mwen, misié Jan.","Il n’y a jamais eu de patron plus scélérat que le mien, monsieur Jean.",14,G. Mauvois,D. J.,327,57
Pou di mwen sa i di'w jan i di'w li a.,Pour que tu me dises ce qu'il t'a dit avec la manière qu'il te l'a dit.,17,N. Cage-Florentiny,H. N.,327,63
"An jou, manman’y janbé a chouval anlè on siklòn…","Un jour, sa mère enfourcha un cyclone…",14,I. et H. Cadoré,S.D.M.,327,74
Fok ou janbé lariviè-a pou pé alé la.,"Pour t’y rendre, il te faut traverser la rivière.",8,,,328,4
Neg Mòn Pijwen sé Neg ki té konnet menyen janbet.,Les habitants du Morne Pichevin étaient des gens qui savaient manier la jambette.,13,R. Confiant,Maris.,328,12
Kay doktè-a apré sé dé jandam-kouché a.,La maison du docteur se trouve après le deux dos d’ânes.,7,,,328,25
"Domino, agat, jandam-volè, danmié.","Dominos, jeux de billes, poursuites, danse du damier.",10,J-F. Liénafa,M. M.,328,32
Lot-la ka prétann sé an jan-gajé ki pèdi pwen’y.,L’autre prétend qu’il s’agit de quelqu’un qui a signé un engagement avec le Diable,14,R. Confiant,K. Y.,328,36
I mantjé pilé an fonmi ki té ka ralé kò’y asou an sel janm.,Il faillit écraser une fourmi qui se traînait sur une seule patte.,18,R. Nazaire,T. K..,328,41
Ek dépi té ni an zanfan janti…,Et dès qu’il y avait un enfant gentil…,11,F. Kichenassamy,C.D.D.,328,57
Jantiyes sé nonm-lan.,La gentillesse des hommes.,5,Jala,A.T.K.P.,329,3
Désann épi janvié sé kon sa dé fiyansé.,Décembre et janvier sont comme deux fiancés.,10,G.Gratiant,F.C.,329,8
Japé dèyè volè léswè.,Japper après les voleurs le soir.,10,F. Marbot,Bamb.,329,12
"Ou konnet zafè Japonnè bien, mésié !",Qu'est-ce que tu connais bien les affaires des Japonais !,13,T. Léotin,L. E.,329,18
"jaré                        . jarret Sé pas dèyè jaré neg li, an razié lespérans, djol chien blan anrajé ka tjimen.","C’est parce que derrière ses jarrets de nègres, dans les buissons de l’espérance, des",15,Joby Bernabé,Konm.,329,22
An pié jasmen té ka pousé bò kay –la.,Du jasmin poussait près de la maison.,14,I. et H. Cadoré,S.D.M.,329,31
Yo té kité lè ba tout kalté jé.,On avait laissé la place pour toutes sortes de jeux.,12,F. Kichenassamy,C.D.D.,329,42
Dékatjé makak pa jé.,Rouer un singe de coups ne relève pas de la plaisanterie.,10,D.Boukman,Z.P.,329,47
Jé ! Fout kay-tala bel !,Ouah!  Quelle jolie maison !,6,,,329,53
Si ou wè ou pa déviré o pli ta jédi bonmaten anpipiri…,Si jamais tu ne reviens pas au plus tard jeudi matin à l’aube…,17,I. et H. Cadoré,S.D.M.,329,59
"Dé jélij, an wouj, an blé.","Deux gélules, l’une rouge, l’autre bleue.",11,J-M. Rosier,Lk.,330,4
Lanmen’y pasé an tet chivé jeks-li a.,Il se passa la main dans ses cheveux crépus.,11,D. Velasques,Maléd.,330,9
An manman yich pa ké jen oubliyé dènié-a.,Une mère n’oubliera jamais son dernier enfant.,14,G. Gratiant,F.K.Z.,330,15
"San wont, san pidè, sa bien jénan kanmenm.","Sans honte, sans pudeur, ce qui est quand même bien gênant.",15,T. Léotin,L. E.,330,24
Jénéral Ton di’w lésé sa pou apré.,Le général Thon te demande de laisser cela pour plus tard.,11,M-Th. Lung-Fou,C. C.,330,34
Sa fè an voum jénéral.,Cela provoqua  un vacarme général.,9,M-Th. Lung-Fou,C. C.,330,40
"Konpè Zanndoli, kon tout jénérasion’y, té ka chaché tjwé travay épi tjwé tan-an.","Compère Anolis, comme tous ses amis, cherchait à tuer le travail et à tuer le temps.",13,T. Léotin,L. E.,330,45
Jénérasion-tala pa ni pies lentéresman pou lapolitik.,Cette génération ne montre aucun intérêt pour la politique.,7,,,330,52
"Jòdi nou ni vent-an, jénes-nou déviré.","Aujourd’hui nous avons vingt ans, nous sommes de nouveau jeunes.",9,F. Donatien,O.L.,330,58
Pè Léona konprann i sé zayé jénes-tala !,Le Père Léonard s’imagine pouvoir faire la cour à cette jeune femme !,13,G. Mauvois,M. C.,330,65
Si mwen pran an jèniev mwen pé ké trapé lafiev.,"Si je prends une genièvre, je n’attraperai pas la fièvre.",18,G. de Vassoigne,F.. K.,330,69
Kon jénis maléré an tan mové karem.,Comme la génisse d’un pauvre homme à la saison du carême.,11,G.H. Léotin,M.L.,331,18
An kalité losion ki té  ni on lodè pwav épi jenjanm.,Une sorte de lotion qui avait une odeur de poivre et de gingembre.,12,I. et H. Cadoré,S.D.M.,331,23
"Dé jélij, an wouj, an blé.","Deux gélules, l’une rouge, l’autre bleue.",11,J-M. Rosier,Lk.,331,28
I té ka jenmi tout lasent jounen anlè kò’y.,Il ne cessait de gémir toute la journée.,12,R. Confiant,K.Y.,331,37
Jizel té ka pousé anlo jenmisman davrè tet-li té ka fè’y mal.,Gisèle gémissait fortement à cause de ses douleurs à la tête.,12,,,331,41
"Ti Joj, pli jenn-lan, pran pléré gwo dlo.","Petit Georges, le benjamin, fondit en larmes.",10,D.Boukman,Mig.,331,46
"Dabò pou yonn, ou kay fé an jenn.",D’abord tu feras un jeûne.,10,R.Confiant,K.Y.,331,51
San jennen sé dé jwè-a.,Sans gêner les deux joueurs.,9,F. Kichenassamy,C.D.D.,331,63
"Jenn-fi, pa kité ti madjendjen-tala palé an zorey-ou !","Jeune fille, ne laisse pas ce va-nu-pieds te faire la cour !",9,,,332,8
I pa té jenn-fi ankò.,Elle n'était plus vierge.,12,H. Bartéléry,T. A.,332,14
"Délè, mwen té ka mandé kò-mwen si jenn-jan a té viré mawonnen.","Parfois, je me demandais si le jeune homme avait marronné à nouveau.",19,I et H. Cadoré,Av.,332,21
"Jéra vini bò’y, i trapé lanmen’y.",Gérard s’approcha de lui et lui saisit la main.,9,R. Confiant,K.Y.,332,25
Sé li ki ké endé'y jéré lo magazen'y la.,C'est lui qui l'aidera à gérer tous ses magasins.,15,H. Bartéléry,T. A.,332,29
"Lè jérè-a rété, do gason-an sé té an sel bobo ka koulé san.","Quand le géreur s'arrêta, le dos du garçon n'était plus qu'une plaie sanglante.",20,I et H. Cadoré,Av.,332,33
Jertrid té lé fè an omaj ba fanm vayan-tala.,Gertrude voulait rendre un hommage à cette vaillante femme.,15,Jid,Ant. n° 1199,332,39
I anni fè an jes ek i disparet pou ritounen dan siel.,Il fit un simple geste et disparut afin de retourner au siel.,16,F. Kichenassamy,C.D.D.,332,44
Nonm tet zwézo a anni fè an jes !,L’homme à la tête d’oiseau fit simplement un geste magique!,12,D. Boukman,Mig.,332,52
Soley-la ka fè jé-séré atravè sé branch-la.,Le soleil joue à cache-cache à travers les branches.,15,Jala,A. T. K. P.,332,56
Lavi sé an masibol ki konnet fos jes-makak nonm-li.,La vie est une fiancée qui connaît les simagrées de son homme.,15,N. Cage-Florentiny,H. N.,332,61
Poutji frè'y ka yenki jestikilé dépi bomaten-an ?,Pourquoi ton frère gesticule-t-il depuis ce matin ?,8,,,333,8
Pèsonn pa-a jété anyen.,Personne ne jette rien.,9,R.Confiant,J.D.D.B.,333,14
"Toupandan adan kazino-a menm, moun ka fouré jèton alé-kon-viré.","Pendant qu'à l'intérieur du casino, les gens placent leurs jetons sans discontinuer.",15,Jid,Ant. n° 1193,333,19
"Pas an tan-tala, sé té istowyen ek jéwograf yonn ki té ka pwan wotè non koté.",Parce qu'à cette époque seuls les historiens et les géographes s'occupaient des noms de lieu.,16,J. Massolin,N. K. M.,333,23
jéwonm                   . jérôme Jéwonm trapé an ti tjè feb ba’y.,Jérôme eut un faible pour lui.,10,F. Kichenassamy,C.D.D.,333,28
An kalté jéyan ki ni mòdan gwosè sa.,Une sorte de géant avec des griffes énormes.,15,G. Mauvois,K. L. K.,333,32
Epi i vini ka bat dé pié'y jikatan i tounen jézè.,Et il se mit à battre l'eau des deux pieds jusqu'à ce qu'il se transforme en geyser.,17,K. Mansfield,L. L.,333,37
"Pou’y risivwè Jézi, yich sòti dan siel.","Afin qu’il accueille Jésus, le fils descendu du ciel.",11,S. Restog,M. N.,333,41
Fout ou kouyon ! Ou ka jété jézié poul-la.,Qu'est-ce que tu es bête ! Tu jettes le gésier de la poule.,15,K. Mansfield,L. L.,333,45
Sa ki vwè gwosè-li dwè kriyé : « Jézi-maya ! »,Ceux qui ont constaté sa grosseur ont dû s’écrier : « Doux Jésus ! »,11,,,333,51
Epi ji lespri-mwen tonbé gout pa gout.,Et le jus de mon cerveau s’écoula goutte à goutte.,13,J-F. Liénafa,L. P.,333,55
Tréziem moun-lan sé té Jida.,La treizième personne était Judas.,11,H.Atine,A.S.D.,334,6
I ka rélé i sé gouvènè la Jidé.,Il hurle qu'il est le gouverneur de la Judée.,15,G-H. Léotin,M. V.,334,10
"Kayé jidisiè mwen pwop, zot tann.","Mon casier judiciaire est propre, vous m'entendez.",14,T. Léotin,L. E.,334,14
"Gadé matant Jidit, tou sa i ni, sé li ki achté'y.","Regarde la tante de Judith, tout ce qu'elle possède, c'est elle qui l'a acheté.",20,Gwoup Rasin Kas,L. K. T.,334,18
Ti bolonm-li a sé an jidoka ki vayan toubannman.,Son garçon est un brillant judoka.,9,,,334,24
Fok man ay an vil pou jij-la sinié papié-a ba mwen.,Il faut que j’aille en ville pour que le juge me signe le papier.,15,I. Césaire,C. N.J.,334,28
Yo té pou jijé’y  kontimas.,Il devait être jugé par contumace.,8,G.Mauvois,K.L.K.K.,334,34
"Jijé si neg dwé, lasou latè, mimiré akoz malè.","Imaginez si les nègres doivent, sur cette terre, protester à cause du malheur.",12,F. Marbot,Bamb.,334,40
Jijé-wè lè tini mouchach lablanni dépi nanninannan !,Et que dire de la farine de manioc qui sèche depuis une éternité !,16,R. Confiant,J. D. D. B.,334,44
"Siriz wouj, zikak violet, jijib, mango, griyav ek anlo dot fwi.","Des cerises rouges, des icaques violettes, des jujubes, des mangues, des",11,F. Kichenassamy,C.D.D.,334,49
Man sé enmen ou sé ba mwen an ti dis sou pou jijiri.,J’aimerais que tu me donnes dix sous pour m’acheter du gigiri.,18,G.Gratiant,F.C.,334,55
Pou moun jik lot bò té tann pawol-li.,Afin que les gens de l’autre rive puissant entendre ses propos.,14,Jean Bernabé,Matin.,334,63
Man ka étidié jijman ek konpowtasion sé moun-lan.,J’étudie le jugement et l’attitude des gens.,15,H. Atine,A.S.D.,335,21
Man Jilbè fini péyé konmen lajan lenpo.,Madame Gilbert vient de payer beaucoup d'impôts.,14,Jid,Ant. n° 1122,335,27
I té ka mété an vié chot épi an vié jilé ta granpapa’y.,Il se vêtait d’un vieux gilet appartenant à son grand-père.,19,I. et H. Cadoré,S.D.M.,335,31
Ti Jan janbé jiman-an pou monté lakay Gran Djab.,Ti Jean enfourcha la jument pour se rendre chez Grand Diable.,9,,,335,43
Magrit Kléw-An Véwo té ka désann lari Léwopol Bisol pou ay jwenn sé jimel-li a.,Marguerite Claire-Anne Véro descendait la rue Léopold Bissol afin de rejoindre ses jumelles.,15,T. Léotin,L. E.,335,49
Epi an pè jimel pou si oka.,Et une paire de jumelles pour le cas où.,14,J-F. Liénafa,M. M.,335,57
