sentence,sentence_fra
Mwen ka manjé on ponm.,Je mange une pomme.
Mwen ka manjé on sandouch.,Je suis en train de manger un sandwich.
Mwen ka manjé on sòwbé vanni.,Je mange une glace à la vanille.
Mwen ka manjé on sòwbé.,Je mange une glace.
Mwen ka manjé on yarout.,Je mange un yaourt.
Mwen ka manjé pen a lè a didiko-la.,Je mange du pain au petit-déjeuner.
Mwen ka manjé pen.,Je mange du pain.
Mwen ka manjé sitwon.,Je mange un citron.
Mwen ka manjé.,Je mange.
Mwen ka palé ba'w.,Je te parle.
Mwen ka pléwé chak jou.,Je pleure chaque jour.
Mwen ka pran on taksi pou rantré akaz.,Je prends un taxi pour rentrer.
Mwen ka pèd souf.,Je suis à bout de souffle.
Mwen ka rété Bastè.,J'habite en Basse-Terre.
Mwen ka rété Bayif.,J'habite à Baillif.
Mwen ka rété Dézirad.,J'habite à la Désirade.
Mwen ka rété Goubè.,J'habite à Gourbeyre.
Mwen ka rété Granntè.,J'habite en Grande-Terre.
Mwen ka rété Lapwent.,J'habite à Pointe-à-Pitre.
Mwen ka rété Lésent.,J'habite aux Saintes.
Mwen ka rété Marigalant.,J'habite à Marie-Galante.
Mwen ka rété Senfwanswa.,J'habite à Saint-François.
Mwen ka rété Senklòd.,J'habite à Saint-Claude.
Mwen ka rété Twarivyè.,J'habite à Trois-Rivières.
Mwen ka rété Zabitan.,J'habite à Vieux-Habitants.
Mwen ka sav.,Je sais.
Mwen ka sonjé'w toultan.,Je pense à toi tout le temps.
Mwen ka sonjé'w.,Je pense à toi.
Mwen ka sonjé'y toulé jou.,J'y pense chaque jour.
Mwen ka twavay.,Je travaille.
Mwen ka wazé mwen toulé jou.,Je me rase chaque jour.
Mwen ka wouvini.,Je reviens.
Mwen konstipé.,Je suis constipé.
Mwen kontan navé.,J'aime les navets.
Mwen kontan ou enmé zanmi an mwen.,Je suis heureux que vous aimiez mes amis.
Mwen kontan.,Je suis heureux.
Mwen koumansé konpwann.,Je commence à comprendre.
Mwen ké achté sa.,J'achèterai ça.
Mwen ké ay lè yo ka wouvini isit.,Je m'en irai lorsqu'ils reviendront ici.
Mwen ké ban a'w lajan lasa.,Je vous donnerai cet argent.
Mwen ké dwésé'w.,Je vais te faire marcher droit.
Mwen ké manjé on gato.,Je mangerai un gâteau.
Mwen ké manjé on kiwi.,Je mangerai un kiwi.
Mwen ké manjé on ponm.,Je mangerai une pomme.
Mwen ké manjé on sitwon.,Je mangerai un citron.
Mwen ké manjé.,Je mangerai.
Mwen ké pòté on ti pwason pou zòt.,Je vous apporterai un peu de poisson.
Mwen ké éséyé.,J'essaierai.
Mwen kòlè.,Je suis en colère.
Mwen las !,Je suis fatigué !
Mwen lévé a sétè d'maten.,Je me suis reveillé à sept heures du matin.
Mwen malad a wòb-lasa.,Cette robe me plaît énormément.
Mwen malad.,Je suis malade.
Mwen manjé on ponm.,Je mangeais un kiwi.
Mwen manjé on sandouch.,Je mangeais un sandwich.
Mwen manjé pen.,J'ai mangé du pain.
Mwen manjé.,J'ai mangé.
Mwen manké avyon-la.,J'ai raté l'avion.
Mwen mayé.,Je suis marié.
Mwen mwen gwan ki yo.,Je suis plus grand qu'eux.
Mwen mwen gwan ki zò.,Je suis moins grand que vous.
Mwen ni disètan.,J'ai dix-sept ans.
Mwen ni dizan.,J'ai dix ans.
Mwen ni diznèvan.,J'ai dix-neuf ans.
Mwen ni dizywitan.,J'ai dix-huit ans.
Mwen ni douzan.,J'ai douze ans.
Mwen ni dé frè é twa sè.,J'ai deux frères et trois sœurs.
Mwen ni dé frè.,J'ai deux frères.
Mwen ni dézan.,J'ai deux ans.
Mwen ni karanndézan.,J'ai quarante-deux ans.
Mwen ni karantan.,J'ai quarante ans.
Mwen ni katran.,J'ai quatre ans.
Mwen ni katòzan.,J'ai quatorze ans.
Mwen ni kenzan.,J'ai quinze ans.
Mwen ni nèvan.,J'ai neuf ans.
Mwen ni on chival blan.,J'ai un cheval blanc.
Mwen ni on chouval blan.,J'ai un cheval blanc.
Mwen ni on chèval blan.,J'ai un cheval blanc.
Mwen ni on frè é dé sè.,J'ai un frère et deux sœurs.
Mwen ni on gwo né.,J'ai un gros nez.
Mwen ni on kansè.,J'ai un cancer.
Mwen ni on lagwip.,J'ai un rhume.
Mwen ni on téléfòn nèf.,J'ai un nouveau téléphone.
Mwen ni onnan.,J'ai un an.
Mwen ni onzan.,J'ai onze ans.
Mwen ni san dòla an pòch an mwen.,J'ai cent dollars dans ma poche.
Mwen ni san lanné.,J'ai cent ans.
Mwen ni santan.,J'ai cent ans.
Mwen ni senk dòla an pòch an mwen.,J'ai cinq dollars dans ma poche.
Mwen ni senkan.,J'ai cinq ans.
Mwen ni senkant éwo an pòch an mwen.,J'ai cinquante euros dans ma poche.
Mwen ni senkantan.,J'ai cinquante ans.
Mwen ni senkantéennan.,J'ai cinquante et un ans.
Mwen ni sizan.,J'ai six ans.
Mwen ni swasanndézan.,J'ai soixante-deux ans.
Mwen ni swasanntwazan.,J'ai soixante-trois ans.
Mwen ni swasantéennan.,J'ai soixante et un ans.
Mwen ni swasantéeonzan.,J'ai soixante et onze ans.
Mwen ni sètan.,J'ai sept ans.
Mwen ni sèz éwo an pòch an mwen.,J'ai seize euros dans ma poche.
Mwen ni sèzan.,J'ai seize ans.
Mwen ni timoun.,J'ai des enfants.
Mwen ni tranndézan.,J'ai trente-deux ans.
Mwen ni trantan.,J'ai trente ans.
Mwen ni trèzan.,J'ai treize ans.
Mwen ni twa frè.,J'ai trois frères.
Mwen ni twa éwo an pòch an mwen.,J'ai trois euros dans ma poche.
Mwen ni twantéennan.,J'ai trente et un ans.
Mwen ni twazan.,J'ai trois ans.
Mwen ni venndézan.,J'ai vingt-deux ans.
Mwen ni venntwazan.,J'ai vingt-trois ans.
Mwen ni ventan.,J'ai vingt ans.
Mwen ni ventéennan.,J'ai vingt et un ans.
Mwen ni ywitan.,J'ai huit ans.
Mwen osi !,Moi aussi !
Mwen osi.,Moi aussi.
Mwen pa enmé jé-lasa.,Je n'aime pas ce jeu.
Mwen pa jalou.,Je ne suis pas jaloux.
Mwen pa ka konpwann zòt ka viv kon si pa ni pwoblèm.,Je n'arrive pas à comprendre que vous viviez comme s'il n'y avait aucun souci.
Mwen pa ka konpwann.,Je ne comprends pas.
Mwen pa ka mangé.,Je ne suis pas en train de manger.
Mwen pa ka tann.,Je ne veux rien entendre.
Mwen pa ka vwè.,Je ne veux rien voir.
Mwen pa konpwann.,Je n'ai pas compris.
Mwen pa kontan navé.,Je n'aime pas les navets.
Mwen pa la.,Je m'en vais.
Mwen pa manjé.,Je n'ai pas mangé.
Mwen pa moun isit.,Je ne suis pas d'ici.
Mwen pa ni bon souvinans a'y.,Je n'ai pas gardé un bon souvenir de lui.
Mwen pa sa fè sa démen.,Je ne peux pas faire ça demain.
Mwen pa sa fè sa.,Je ne sais pas le faire.
Mwen pa sav otila yo yé.,Je ne sais pas où ils sont.
Mwen pa sav.,Je ne sais pas.
Mwen pa té k'ay manjé.,Je n'allais pas manger.
Mwen pa'a manjé.,Je ne suis pas en train de manger.
Mwen pisimyé légim kri ki légim kuit.,Je préfère les légumes crus aux légumes cuits.
Mwen pisimé anglé.,Je préfère l'anglais.
Mwen pisimé chyen.,Je préfère les chiens.
Mwen pisimé divòsé.,Je préfère divorcer.
Mwen pisimé kafé.,Je préfère le café.
Mwen pisimé li.,Je préfère lire.
Mwen pisimé maché.,Je préfère marcher.
Mwen pisimé mò.,Je préfère mourir.
Mwen pisimé nwè la.,Je préfère le noir.
Mwen pisimé nèg la.,Je préfère le nègre.
Mwen pisimé wouj la.,Je préfère le rouge.
Mwen piti.,Je suis petit.
Mwen pli gwan ki zòt.,Je suis plus grand que vous.
Mwen pli gwan ki'w.,Je suis plus grand que toi.
Mwen pli gwan pasé zò.,Je suis plus grand que vous.
Mwen pli gwan pasé'y.,Je suis plus grand que lui.
Mwen pwisi'w.,Je suis amoureux de toi.
Mwen pè.,J'ai peur.
Mwen pèd fil an mwen.,Je ne sais plus ce que je voulais dire.
"Mwen pèd on koté soulyé, sèten yo kaché i.",J'ai perdu une chaussure ; je suis sûr qu'on l'a cachée.
Mwen pèd on koté soulyé.,J'ai perdu une chaussure.
Mwen pé enmé.,Je peux aimer.
Mwen pé ké manjé.,Je ne mangerai pas.
Mwen pé pa tann li.,Je ne peux pas l'entendre.
"Mwen pé pa, mwen ja tini mo.","Je ne peux pas, j'ai déjà rendez-vous."
Mwen pé'é manjé.,Je ne mangerai pas.
"Mwen santi on gout lapli, mwen k'ay kaché.","J'ai senti une goutte de pluie, je vais m'abriter."
Mwen sav la i yé.,Je sais où il est.
Mwen sav la nou yé.,Je sais où nous sommes.
Mwen swèf.,J'ai soif.
Mwen sé Tòm.,Je suis Tom.
Mwen sé moun Ayiti.,Je suis d'Haïti.
Mwen sé moun Dominik.,Je suis de Dominique.
Mwen sé moun Fwans.,Je suis français.
Mwen sé moun Gwadloup.,Je suis guadeloupéen.
Mwen sé moun Matinik.,Je suis martiniquais.
Mwen sé moun isit.,Je suis d'ici.
Mwen sé on chantè.,Je suis chanteur.
Mwen sé on chantèz.,Je suis chanteuse.
Mwen sé on dansè.,Je suis danseur.
Mwen sé on dansèz.,Je suis danseuse.
Mwen sé on najè.,Je suis nageur.
Mwen sé on najèz.,Je suis nageuse.
Mwen sé on ékwiven.,Je suis écrivain.
Mwen sòti manjé on falafèl.,Je viens de manger un falafel.
Mwen sòti manjé.,Je viens de finir de manger.
Mwen sòti twapé on lidé.,Je viens d'avoir une idée.
Mwen twis san vou.,Je suis triste sans toi.
Mwen té enmé zòt.,Je vous aimais.
"Mwen té enmé'w, Tòm.","Je t'aime, Tom."
Mwen té enmé'w.,Je t'aimais.
Mwen té enmé'y.,Je l'aimais.
Mwen té k'ay manjé.,J'allais manger.
Mwen té ké manjé on chival.,Je pourrais manger un cheval.
Mwen té ké manjé on chouval.,Je pourrais manger un cheval.
Mwen té ké vlé mandé'w on sèvis.,Je voudrais te demander un service.
Mwen té vin èvè zanmi an mwen.,Je vins avec mes amies.
Mwen vivan.,Je suis en vie.
Mwen vlé voyajé an avyon.,Je veux voyager en avion.
Mwen vwè bato ka pasé o fon-la.,J'ai vu de frands bateaux passer au large.
Mwen vé pa ay lékòl.,Je ne veux pas aller à l'école.
Mèsi !,Merci !
"Mèsi onlo, sé tout.","Merci beaucoup, ce sera tout."
Mèsi onpil !,Merci beaucoup !
"Mèsi onpil, sé tout.","Merci beaucoup, ce sera tout."
Mèsi pou envitasyon a'w.,Merci de m'avoir invité.
Mèsi.,Merci.
Mèt dé kawòt an vyann-la !,Mets deux carottes avec la viande !
Mésyé !,Mes aïeux !
"Mésyé, mésyé ! Fout sa lèd !",Mes aïeux ! Que c'est moche !
Mété tibren alkòl asi bobo-la !,Mets un peu d'alcool sur la plaie !
Mété tibwen alkòl asi bobo-la !,Mets un peu d'alcool sur la plaie !
Météwo-la anonsé on bèl wikenn.,La météo prévoit un beau week-end.
Météyo-la anonsé on bèl wikenn.,La météo prévoit un beau week-end.
Ni on moun blésé.,Il y a un blessé.
Ni on moun ka néyé !,Il y a quelqu'un qui se noie !
Ni onlo lafimé.,Il y a beaucoup de fumée.
Ni onpil lafimé.,Il y a beaucoup de fumée.
Ni ywit chival.,Il y a huit chevaux.
Ni ywit chouval.,Il y a huit chevaux.
Ni ywit chèval.,Il y a huit chevaux.
Ni òksijèn andidan boutèy-lasa.,Il y a de l'oxygène dans cette bouteille.
Non !,Non !
Non ?,Non ?
Non an mwen sé Andréa.,Je m'appelle Andrea.
Non an mwen sé Jan.,Je m'appelle John.
Non an mwen sé Lori.,Je m'appelle Laurie.
Non an mwen sé Lwi.,Je m'appelle Luis.
Non an mwen sé Sacha.,Je m'appelle Sasha.
Non an mwen sé Sali.,Je m'appelle Sally.
Non an mwen sé Sara.,Je m'appelle Sara.
Non an mwen sé Tòm é mi Mawi.,Je m'appelle Tom et voici Marie.
Non an mwen sé Èstéfann é mi Kwisyann.,Je m'appelle Stéphane et voici Christiane.
Non an mwen sé Èstéfann.,Je m'appelle Stéphane.
Non an mwen sé Émili.,Je m'appelle Emily.
"Non, pa fè sa !","Non, ne fais pas ça !"
Nonm-lan ho,L'homme est grand.
"Nou fè'w viv èvè lokans a dwèt an nou, an kadans a doulè an nou, a lenbé an nou.","Nous t'avons fait vivre avec l'éloquence de nos doigts, au rythme de nos douleurs, de nos chagrins."
Nou ka chèché travay.,Nous cherchons du travail.
Nou ka fèmé a sétèdswè.,Nous fermons à 19 heures.
Nou ka jwé boul andèwò.,On joue au ballon à l'extérieur.
Nou ka limé blan balenn la.,Nous allumons la bougie.
Nou ka limé bouji-la.,Nous allumons la bougie.
Nou ka manjé.,Nous mangeons.
Nou ka pléwé.,Nous pleurons.
Nou ka vwè lonbwaj a nonm-lasa.,On voit la silhouette de cet homme.
Nou kontan vwè zòt !,Bienvenue !
Nou kontan vwè zòt akaz !,Bienvenue chez nous !
Nou ké manjé.,Nous mangerons.
Nou manjé.,Nous avons mangé.
Nou mwen gwan ki yo.,Nous sommes moins grands qu'eux.
Nou mwen gwan ki zò.,Nous sommes moins grands que vous.
Nou mwen gwan pasé yo.,Nous sommes moins grands qu'eux.
Nou mwen gwan pasé zòt.,Nous sommes moins grands que vous.
Nou mwen gwan pasé'y.,Nous sommes moins grands que toi.
Nou pa dwèt fè poltiik.,Nous ne devrions pas faire de politique.
Nou pa ka gadé.,Nous sommes pas en train de regarder.
Nou pa ka manjé.,Nous ne sommes pas en train de manger.
Nou pa manjé.,Nous n'avons pas mangé.
Nou pa pè.,On n'a pas peur.
Nou pa té k'ay manjé.,Nous n'allions pas manger.
Nou pa'a manjé.,Nous ne sommes pas en train de manger.
Nou pran on bon ben an lanmè.,Nous avons pris un bon bain de mer.
Nou pé ké manjé.,Nous ne mangerons pas.
Nou pé'é manjé.,Nous ne mangerons pas.
Nou sé moun isi.,Nous sommes d'ici.
Nou sé moun isit.,Nous sommes d'ici.
Nou sé zanmi a'w.,Nous sommes tes amis.
Nou té k'ay manjé.,Nous allions manger.
Nou té zanmi.,Nous étions amis.
Nou vwè yo yè.,Nous les avons vus hier.
Nyak.,Rien.
Nèf la anba lapo la.,Le nerf est sous la peau.
O ?,Où ?
"O madanm, ès ou ni on ti almanak pou ou ban mwen ?","Eh, madame ! Vous n'avez pas un petit calendrier pour moi ?"
O manman yé ?,"Elle est où, maman ?"
O mwen pé achté ponm ?,Où puis-je acheter des pommes ?
O sant komèwsyal la yé ?,Où se trouve le centre commercial ?
O sé twalèt-la yé ?,Où sont les toilettes ?
O sé twalèt-la yé souplè ?,"Où sont les toilettes, s'il vous plait ?"
Obiyé !,Oublie !
Obiyé'y.,Oublie-le.
Obliyé !,Oublie !
Obliyé'y.,Oublie-le.
Ola ?,Où ?
Ola i dwèt alé ?,Où doit-elle aller ?
Ola manman yé ?,"Elle est où, maman ?"
Ola mwen pé gannyé ponm ?,Où puis-je acheter des pommes ?
Ola ou fèt ?,Où es-tu né ?
Ola ou té pasé ?,Où étais-tu passé ?
Ola sant komèwsyal la yé ?,Où se trouve le centre commercial ?
Ola sé twalèt-la yé ?,Où sont les toilettes ?
Ola sé twalèt-la yé souplè ?,"Où sont les toilettes, s'il vous plait ?"
Ola wéyon a madanm yé ?,Où se trouve le rayon pour femmes ?
Ola wéyon a nonm yé ?,Où se trouve le rayon homme ?
Ola wéyon a timoun yé ?,Où se trouve le rayon enfant ?
On ayen ka boulvèsé on fanm ansent.,Un rien suffit à donner la nausée à une femme enceinte.
On jenn gason néyé an lanmè la.,Un jeune garçon s'est noyé en mer.
On jenn tifi néyé an lanmè la.,Une jeune fille s'est noyée en mer.
"On jou, pannan manman yo pa té la, yo ay an bwa.","Un jour, pendant que leur mère était absente, ils s'en allèrent dans les bois."
"Onsèl koul baton, i abazoudi konpè lapen.","D'un seul coup de bâton, il assomma compère lapin."
Osi.,Aussi.
Otila i dwèt ay ?,Où doit-elle aller ?
Otila manman yé ?,"Elle est où, maman ?"
Otila mwen pé gannyé ponm ?,Où puis-je acheter des pommes ?
Otila ou té pasé ?,Où étais-tu passé ?
Otila sé twalèt-la yé ?,Où sont les toilettes ?
Ou chanslé.,Vous avez de la chance.
Ou dwèt manjé sa.,Tu dois manger ça.
Ou dwètèt fen.,Tu dois avoir faim.
Ou enmé dansé.,Tu aimes danser.
Ou enmé najé.,Tu aimes nager.
Ou enmé'y !,Tu l'aimes !
Ou fè sa lidé a'w di'w fè.,Tu as agi selon ta conscience.
Ou fè éwè.,Tu t'es trompé.
Ou gwan pasé mwen.,Tu es plus grand que moi.
Ou gwan pasé nou.,Tu es plus grand que nous.
Ou gwan pasé yo.,Tu es plus grand qu'eux.
Ou gwan pasé'y.,Tu es plus grand que lui.
Ou ja kafé ?,Tu as déjà pris ton café ?
Ou ka chèché travay.,Tu cherches du travail.
Ou ka fini anlè ou menm !,Tu es en train de maigrir !
Ou ka fè mwen pè.,Tu me fiches la trouille.
Ou ka fè sa chak jou ?,Fais-tu cela chaque jour ?
Ou ka fè sa toulé jou ?,Fais-tu cela chaque jour ?
Ou ka kouwi chak jou ?,Est-ce que tu cours chaque jour ?
Ou ka kouwi toulé jou ?,Est-ce que tu cours chaque jour ?
Ou ka limé bouji-la.,Tu allumes la bougie.
Ou ka manjé on sòwbé vanni.,Tu manges une glace à la vanille.
Ou ka manjé on sòwbé.,Tu manges une glace.
Ou ka manjé.,Tu es en train de manger.
Ou ka manké mwen.,Tu me manques.
Ou ka manti.,Tu mens.
Ou ka pati ?,Tu pars ?
Ou ka éséyé wanjé pòt la.,Tu essaies de réparer la porte.
Ou ka étidyé chak jou ?,Étudies-tu chaque jour ?
Ou ka étidyé toulé jou ?,Étudies-tu chaque jour ?
Ou ké ay ?,Tu iras ?
Ou ké enmé Tòm.,Tu aimeras Tom.
Ou ké li on lèt.,Tu liras une lettre.
Ou ké manjé.,Tu mangeras.
Ou ké pòté sitwon pou boutik la.,Tu porteras des citrons au magasin.
Ou manjé.,Tu as mangé.
Ou mwen gwan ki mwen.,Tu es moins grand que moi.
Ou mwen gwan ki nou.,Tu es moins grand que nous.
Ou mwen gwan ki yo.,Tu es plus grand qu'eux.
Ou mwen gwan pasé mwen.,Tu es moins grand que moi.
Ou mwen gwan pasé nou.,Tu es moins grand que nous.
Ou mwen gwan pasé yo.,Tu es plus grand qu'eux.
Ou mwen gwan pasé'y.,Tu es plus grand qu'elle.
Ou ni bon vlen ?,As-tu du bon venin ?
Ou ni dé liv ?,As-tu deux livres ?
Ou ni on gwo né.,Tu as un gros nez.
Ou ni on kansè.,Tu as un cancer.
Ou pa ka manjé.,Tu ne manges pas.
Ou pa manjé.,Tu n'as pas mangé.
Ou pa ni wézon.,Tu n'as pas raison.
Ou pa té dwèt fè mwen sa.,Tu n'aurais pas dû me faire ça.
Ou pa té k'ay manjé.,Tu n'allais pas manger.
Ou pa'a manjé.,Tu ne manges pas.
Ou pa'a tann ?,Tu es sourd ?
Ou pa'a vwè klè ?,Tu es aveugle ?
Ou pli gwan ki mwen.,Tu es plus grand que moi.
Ou pli gwan ki nou.,Tu es plus grand que nous.
Ou pli gwan ki yo.,Tu es plus grand qu'eux.
Ou pli gwan pasé mwen.,Tu es plus grand que moi.
Ou pli gwan pasé nou.,Tu es plus grand que nous.
Ou pli gwan pasé yo.,Tu es plus grand qu'eux.
Ou pli gwan pasé'y.,Tu es plus grand que lui.
Ou pèd lajan'w ?,As-tu perdu ton argent ?
Ou pé kwè li.,Vous pouvez le croire.
Ou pé ké manjé.,Tu ne mangeras pas.
Ou pé sizé.,Tu peux t'asseoir.
Ou pé'é manjé.,Tu ne mangeras pas.
Ou sé lanmou lavi an mwen.,Tu es l'amour de ma vie.
Ou sé moun isi ?,Es-tu d'ici ?
Ou sé moun isi.,Tu es d'ici.
Ou sé moun isit ?,Es-tu d'ici ?
Ou sé moun isit.,Tu es d'ici.
Ou tèbè tèbè a'w !,Tu es trop bête !
Ou té enmé najé.,Tu aimais nager.
Ou té k'ay manjé.,Tu allais manger.
Ou té kouté.,Tu écoutais.
Ou té ké enmé Tòm.,Tu aimerais Tom.
Ou vlé vin ?,Tu veux venir ?
Ou vwè noutout fèt é grandi.,Tu nous à tous vus naître et grandir.
Ovwa !,Au revoir !
Ovwa.,Au revoir.
Pa ay o fon !,Ne vas pas trop loin !
Pa bizwen pè.,Ne crains rien.
Pa dwaté mwen !,Ne pointe pas ton doigt vers moi !
Pa dwété mwen !,Ne pointe pas ton doigt vers moi !
"Pa fè i pè, ou sav byen i kawdyak.","Ne lui fais peur, tu sais bien qu'il est cardiaque."
Pa fè sa !,Ne fais pas ça !
Pa manjé sa !,Ne mange pas ça !
Pa manjé'y !,Ne mange pas ça !
Pa ni ayen !,Ça va !
Pa ni ayen pou manjé an péyi-la.,Il n'y a rien à manger dans le pays.
Pa ni pwoblèm.,Pas de problème.
Pa obiyé mwen ! An enmé'w !,Ne m'oublie pas ! Je t'aime !
Pa obliyé mwen ! An enmé'w !,Ne m'oublie pas ! Je t'aime !
Pa oubliyé mèt ba-la dèyè pòt-la !,N'oublie pas de fermer la porte avec la barre !
Pa pléré ankò !,Ne pleure plus !
Pa pléré.,Ne pleure pas.
Pa pè !,N'aie pas peur.
Pa touché'y !,Ne touche pas à ça !
Pa vin si mwen !,N'approche pas de moi !
Palapenn vin.,Pas la peine de venir.
Palapenn vini.,Pas la peine de venir.
Papa an mwen fè on balansin adan pyé mango la.,Mon père a installé une balançoire dans le manguier.
Papa mwen sé on chasè.,Mon père est chasseur.
"Papa, an enmé'w !","Papa, je t'aime !"
"Papa, mwen enmé'w !","Papa, je t'aime !"
Pisimé an pati.,Mieux vaut que je parte.
Pisimé i pati.,Mieux vaut qu'il parte.
Pisimé mwen pati.,Mieux vaut que je parte.
Pisimé nou pati.,Mieux vaut qu'on parte.
Pisimé ou pati.,Mieux vaut que tu partes.
Pisimé yo pati.,Mieux vaut qu'ils partent.
Pisimé zò pati.,Mieux vaut que vous partiez.
Pisimé zòt pati.,Mieux vaut que vous partiez.
"Plita, an ké on avyatè !","Dans le futur, je serai aviateur !"
"Plita, an ké on chanpyon ténis !","Dans le futur, je serai championne de tennis !"
"Plita, an ké on chantè !","Dans le futur, je serai chanteur !"
"Plita, an ké on chantèz !","Dans le futur, je serai chanteuse !"
"Plita, an ké on dansè !","Dans le futur, je serai danseur !"
"Plita, an ké on dansèz !","Dans le futur, je serai danseuse !"
"Plita, an ké on jandam !","Dans le futur, je serai gendarme !"
"Plita, mwen ké on aviyatè !","Dans le futur, je serai aviateur !"
"Plita, mwen ké on chanpyon ténis !","Dans le futur, je serai championne de tennis !"
"Plita, mwen ké on chantè !","Dans le futur, je serai chanteur !"
"Plita, mwen ké on chantèz !","Dans le futur, je serai chanteuse !"
"Plita, mwen ké on dansè !","Dans le futur, je serai danseur !"
"Plita, mwen ké on dansèz !","Dans le futur, je serai danseuse !"
"Plita, mwen ké on jandab !","Dans le futur, je serai gendarme !"
Ponmlé'w chak jou.,Promène-toi chaque jour.
Ponmlé'w toulé jou.,Promène-toi chaque jour.
"Pou Nwèl, an ké achté balon pou mèt an sapen-la.","Pour Noël, j'achèterai des ballons pour mettre dans le sapin."
"Pou Nwèl, mwen ké achté balon pou mèt an sapen-la.","Pour Noël, j'achèterai des ballons pour mettre dans le sapin."
Pouki i fè sa ?,Pourquoi a-t-il fait ça ?
Pouki ou fè sa ?,Pourquoi as-tu fait ça ?
Pouki ou pa enmé mwen ?,Pourquoi ne m'aimes-tu pas ?
Pouki zòt fè sa ?,Pourquoi avez-vous fait ça ?
Poukisa ?,Pourquoi ?
Poutan zòt sav lavi-la rèd.,Vous savez pourtant que la vie est dure.
Pwan gad !,Sois prudent !
Pwan gad.,Sois prudent.
Pwasa-lasa bidim !,Ce poisson est immense !
Pwason ka viv an dlo.,Les poissons vivent dans l'eau.
Pwason-lasa bidim !,Ce poisson est immense !
Pwensès-la ka baké abò bèlchawèt a'y.,La princesse est montée dans son carrosse.
Pwiyédyé !,Prie !
"Pwèmyé moun ki ka wèsté Mawi-Galant, sé té Awawak.",Les premiers habitants de Marie-Galante furent des Arawak.
Pwéson-lasa bidim !,Ce poisson est immense !
Péken gwan pasé Wonm.,Pékin est plus grand que Rome.
Péken pli gwan ki Wonm.,Pékin est plus grand que Rome.
Péken pli gwan pasé Wonm.,Pékin est plus grand que Rome.
Répons-lasa sé érè.,Cette réponse est fausse.
Sa bon menm !,C'est très bon !
Sa k'ay ?,Ça va ?
Sa k'ay é ou menm ?,"Je suis bien, et toi ?"
Sa k'ay.,Ça va.
"Sa ka fè dézan i ni on kansè, mé i ka kité byen.","Il a un cancer depuis deux ans, mais il resiste bien."
Sa ka fè ywit mwa i ansent.,Elle est enceinte de huit mois.
Sa ki wivé'w ?,Que t'est-il arrivé ?
Sa kon sa.,C'est comme ça.
Sa pa asiwé.,Ce n'est pas certain.
Sa posib.,C'est possible.
"Sa yo fè-la té mové, sété on péché.",Ce qu'ils ont fait était mal. C'était un péché.
Sami gwan pasé mwen.,Sami est plus grand que moi.
Sami pli gwan ki mwen.,Sami est plus grand que moi.
Sami pli gwan pasé mwen.,Sami est plus grand que moi.
Si !,Si !
Si ?,Si ?
Si a pa té pou di.,S'il ne tenait qu'à moi.
Si an ka li kenz paj toulé jou...,Si je lis chaque jour quinze pages...
Si an vlé.,Si je veux.
Si i vlé.,S'il veut.
Si mwen ka li kenz paj chak jou...,Si je lis chaque jour quinze pages...
Si mwen vlé.,Si je veux.
Si nou vlé.,Si nous voulons.
Si ou ka di'y.,Si tu le dis.
"Si ou two baladè, ou pé'é manjé'w !","Si tu passes trop de temps à te balader, tu n'auras rien à manger !"
Si ou vlé.,Si tu veux.
Si yo vlé.,S'ils veulent.
Si zòt vlé.,Si vous voulez.
Siléma-lasa ka fè yo pè.,Ce film leur fait peur.
Siwano pala.,Cyrano n’est pas là.
Soukou !,Au secours !
Soulyé an mwen gwan pasé ta'w.,Mes chaussures sont plus grandes que les tiennes.
Soulyé an mwen pli gwan ki ta'w.,Mes chaussures sont plus grandes que les tiennes.
Soulyé an mwen pli gwan pasé ta'w.,Mes chaussures sont plus grandes que les tiennes.
Soup-la cho.,La soupe est chaude.
Souplé.,Je vous en prie.
Syèl !,Ciel !
Syèl-la blé.,Le ciel est bleu.
Syèl-la ké chajé.,Il fera nuageux.
Sè a'w ka dòmi.,Votre sœur est en train de dormir.
Sèkré a'y sé ta'y.,Il garde ses secrets pour lui.
Sé fimèl-bèf an mwen.,C'est ma vache.
Sé konsa an yé.,C'est ainsi que je suis.
Sé konsa i yé.,C'est ainsi qu'il est.
Sé konsa mwen yé.,C'est ainsi que je suis.
Sé konsa nou yé.,C'est ainsi que nous sommes.
Sé konsa yo yé.,C'est ainsi qu'ils sont.
Sé konsa zò yé.,C'est ainsi que vous êtes.
Sé konsa zòt yé.,C'est ainsi que vous êtes.
Sé kòyòt-la ka hélé lannywit.,Les coyotes hurlent la nuit.
Sé liv-lasa bazé si Labib.,Ces livres sont basés sur la Bible.
Sé on bon chantè toubòlman.,C'est un très bon chanteur.
Sé on bon chantèz toubòlman.,C'est une très bonne chanteuse.
Sé on bon dansè toubòlman.,C'est un très bon danseur.
Sé on bon dansèz toubòlman.,C'est une très bonne danseuse.
Sé on bon kavalyèz toubòlman.,C'est une très bonne cavalière.
Sé on bon kavalyé toubòlman.,C'est un très bon cavalier.
Sé on bon mizisyen toubòlman.,C'est un très bon musicien.
Sé on bon najè toubòlman.,C'est un très bon nageur.
Sé on bon najèz toubòlman.,C'est une très bonne nageuse.
Sé pa ti kouwi an kouwi !,Qu'est-ce que j'ai couru !
Sé timoun an nou.,C'est notre enfant.
